Order ID	Product	Unit Price	Quantity	Discount
10248	Queso Cabrales	$14.00	12	0.00%
10248	Singaporean Hokkien Fried Mee	$9.80	10	0.00%
10248	Mozzarella di Giovanni	$34.80	5	0.00%
10249	Tofu	$18.60	9	0.00%
10249	Manjimup Dried Apples	$42.40	40	0.00%
10250	Jack's New England Clam Chowder	$7.70	10	0.00%
10250	Manjimup Dried Apples	$42.40	35	15.00%
10250	Louisiana Fiery Hot Pepper Sauce	$16.80	15	15.00%
10251	Gustaf's Knäckebröd	$16.80	6	5.00%
10251	Ravioli Angelo	$15.60	15	5.00%
10251	Louisiana Fiery Hot Pepper Sauce	$16.80	20	0.00%
10252	Sir Rodney's Marmalade	$64.80	40	5.00%
10252	Geitost	$2.00	25	5.00%
10252	Camembert Pierrot	$27.20	40	0.00%
10253	Gorgonzola Telino	$10.00	20	0.00%
10253	Chartreuse verte	$14.40	42	0.00%
10253	Maxilaku	$16.00	40	0.00%
10254	Guaraná Fantástica	$3.60	15	15.00%
10254	Pâté chinois	$19.20	21	15.00%
10254	Longlife Tofu	$8.00	21	0.00%
10255	Chang	$15.20	20	0.00%
10255	Pavlova	$13.90	35	0.00%
10255	Inlagd Sill	$15.20	25	0.00%
10255	Raclette Courdavault	$44.00	30	0.00%
10256	Perth Pasties	$26.20	15	0.00%
10256	Original Frankfurter grüne Soße	$10.40	12	0.00%
10257	Schoggi Schokolade	$35.10	25	0.00%
10257	Chartreuse verte	$14.40	6	0.00%
10257	Original Frankfurter grüne Soße	$10.40	15	0.00%
10258	Chang	$15.20	50	20.00%
10258	Chef Anton's Gumbo Mix	$17.00	65	20.00%
10258	Mascarpone Fabioli	$25.60	6	20.00%
10259	Sir Rodney's Scones	$8.00	10	0.00%
10259	Gravad lax	$20.80	1	0.00%
10260	Jack's New England Clam Chowder	$7.70	16	25.00%
10260	Ravioli Angelo	$15.60	50	0.00%
10260	Tarte au sucre	$39.40	15	25.00%
10260	Outback Lager	$12.00	21	25.00%
10261	Sir Rodney's Scones	$8.00	20	0.00%
10261	Steeleye Stout	$14.40	20	0.00%
10262	Chef Anton's Gumbo Mix	$17.00	12	20.00%
10262	Uncle Bob's Organic Dried Pears	$24.00	15	0.00%
10262	Gnocchi di nonna Alice	$30.40	2	0.00%
10263	Pavlova	$13.90	60	25.00%
10263	Guaraná Fantástica	$3.60	28	0.00%
10263	Nord-Ost Matjeshering	$20.70	60	25.00%
10263	Longlife Tofu	$8.00	36	25.00%
10264	Chang	$15.20	35	0.00%
10264	Jack's New England Clam Chowder	$7.70	25	15.00%
10265	Alice Mutton	$31.20	30	0.00%
10265	Outback Lager	$12.00	20	0.00%
10266	Queso Manchego La Pastora	$30.40	12	5.00%
