Order ID	Customer	Employee	Order Date	Required Date	Shipped Date	Ship Via	Freight	Ship Name	Ship Address	Ship City	Ship Region	Ship Postal Code	Ship Country
10248	Vins et alcools Chevalier	Buchanan, Steven	04-Jul-1996	01-Aug-1996	16-Jul-1996	Federal Shipping	$32.38	Vins et alcools Chevalier	59 rue de l'Abbaye	Reims		51100	France
10249	Toms Spezialitäten	Suyama, Michael	05-Jul-1996	16-Aug-1996	10-Jul-1996	Speedy Express	$11.61	Toms Spezialitäten	Luisenstr. 48	Münster		44087	Germany
10250	Hanari Carnes	Peacock, Margaret	08-Jul-1996	05-Aug-1996	12-Jul-1996	United Package	$65.83	Hanari Carnes	Rua do Paço, 67	Rio de Janeiro	RJ	05454-876	Brazil
10251	Victuailles en stock	Leverling, Janet	08-Jul-1996	05-Aug-1996	15-Jul-1996	Speedy Express	$41.34	Victuailles en stock	2, rue du Commerce	Lyon		69004	France
10252	Suprêmes délices	Peacock, Margaret	09-Jul-1996	06-Aug-1996	11-Jul-1996	United Package	$51.30	Suprêmes délices	Boulevard Tirou, 255	Charleroi		B-6000	Belgium
10253	Hanari Carnes	Leverling, Janet	10-Jul-1996	24-Jul-1996	16-Jul-1996	United Package	$58.17	Hanari Carnes	Rua do Paço, 67	Rio de Janeiro	RJ	05454-876	Brazil
10254	Chop-suey Chinese	Buchanan, Steven	11-Jul-1996	08-Aug-1996	23-Jul-1996	United Package	$22.98	Chop-suey Chinese	Hauptstr. 31	Bern		3012	Switzerland
10255	Richter Supermarkt	Dodsworth, Anne	12-Jul-1996	09-Aug-1996	15-Jul-1996	Federal Shipping	$148.33	Richter Supermarkt	Starenweg 5	Genève		1204	Switzerland
10256	Wellington Importadora	Leverling, Janet	15-Jul-1996	12-Aug-1996	17-Jul-1996	United Package	$13.97	Wellington Importadora	Rua do Mercado, 12	Resende	SP	08737-363	Brazil
10257	HILARIÓN-Abastos	Peacock, Margaret	16-Jul-1996	13-Aug-1996	22-Jul-1996	Federal Shipping	$81.91	HILARIÓN-Abastos	Carrera 22 con Ave. Carlos Soublette #8-35	San Cristóbal	Táchira	5022	Venezuela
10258	Ernst Handel	Davolio, Nancy	17-Jul-1996	14-Aug-1996	23-Jul-1996	Speedy Express	$140.51	Ernst Handel	Kirchgasse 6	Graz		8010	Austria
10259	Centro comercial Moctezuma	Peacock, Margaret	18-Jul-1996	15-Aug-1996	25-Jul-1996	Federal Shipping	$3.25	Centro comercial Moctezuma	Sierras de Granada 9993	México D.F.		05022	Mexico
10260	Ottilies Käseladen	Peacock, Margaret	19-Jul-1996	16-Aug-1996	29-Jul-1996	Speedy Express	$55.09	Ottilies Käseladen	Mehrheimerstr. 369	Köln		50739	Germany
10261	Que Delícia	Peacock, Margaret	19-Jul-1996	16-Aug-1996	30-Jul-1996	United Package	$3.05	Que Delícia	Rua da Panificadora, 12	Rio de Janeiro	RJ	02389-673	Brazil
10262	Rattlesnake Canyon Grocery	Callahan, Laura	22-Jul-1996	19-Aug-1996	25-Jul-1996	Federal Shipping	$48.29	Rattlesnake Canyon Grocery	2817 Milton Dr.	Albuquerque	NM	87110	USA
10263	Ernst Handel	Dodsworth, Anne	23-Jul-1996	20-Aug-1996	31-Jul-1996	Federal Shipping	$146.06	Ernst Handel	Kirchgasse 6	Graz		8010	Austria
10264	Folk och fä HB	Suyama, Michael	24-Jul-1996	21-Aug-1996	23-Aug-1996	Federal Shipping	$3.67	Folk och fä HB	Åkergatan 24	Bräcke		S-844 67	Sweden
10265	Blondel père et fils	Fuller, Andrew	25-Jul-1996	22-Aug-1996	12-Aug-1996	Speedy Express	$55.28	Blondel père et fils	24, place Kléber	Strasbourg		67000	France
10266	Wartian Herkku	Leverling, Janet	26-Jul-1996	06-Sep-1996	31-Jul-1996	Federal Shipping	$25.73	Wartian Herkku	Torikatu 38	Oulu		90110	Finland
10267	Frankenversand	Peacock, Margaret	29-Jul-1996	26-Aug-1996	06-Aug-1996	Speedy Express	$208.58	Frankenversand	Berliner Platz 43	München		80805	Germany
10268	GROSELLA-Restaurante	Callahan, Laura	30-Jul-1996	27-Aug-1996	02-Aug-1996	Federal Shipping	$66.29	GROSELLA-Restaurante	5ª Ave. Los Palos Grandes	Caracas	DF	1081	Venezuela
10269	White Clover Markets	Buchanan, Steven	31-Jul-1996	14-Aug-1996	09-Aug-1996	Speedy Express	$4.56	White Clover Markets	1029 - 12th Ave. S.	Seattle	WA	98124	USA
10270	Wartian Herkku	Davolio, Nancy	01-Aug-1996	29-Aug-1996	02-Aug-1996	Speedy Express	$136.54	Wartian Herkku	Torikatu 38	Oulu		90110	Finland
10271	Split Rail Beer & Ale	Suyama, Michael	01-Aug-1996	29-Aug-1996	30-Aug-1996	United Package	$4.54	Split Rail Beer & Ale	P.O. Box 555	Lander	WY	82520	USA
10272	Rattlesnake Canyon Grocery	Suyama, Michael	02-Aug-1996	30-Aug-1996	06-Aug-1996	United Package	$98.03	Rattlesnake Canyon Grocery	2817 Milton Dr.	Albuquerque	NM	87110	USA
10273	QUICK-Stop	Leverling, Janet	05-Aug-1996	02-Sep-1996	12-Aug-1996	Federal Shipping	$76.07	QUICK-Stop	Taucherstraße 10	Cunewalde		01307	Germany
10274	Vins et alcools Chevalier	Suyama, Michael	06-Aug-1996	03-Sep-1996	16-Aug-1996	Speedy Express	$6.01	Vins et alcools Chevalier	59 rue de l'Abbaye	Reims		51100	France
10275	Magazzini Alimentari Riuniti	Davolio, Nancy	07-Aug-1996	04-Sep-1996	09-Aug-1996	Speedy Express	$26.93	Magazzini Alimentari Riuniti	Via Ludovico il Moro 22	Bergamo		24100	Italy
10276	Tortuga Restaurante	Callahan, Laura	08-Aug-1996	22-Aug-1996	14-Aug-1996	Federal Shipping	$13.84	Tortuga Restaurante	Avda. Azteca 123	México D.F.		05033	Mexico
10277	Morgenstern Gesundkost	Fuller, Andrew	09-Aug-1996	06-Sep-1996	13-Aug-1996	Federal Shipping	$125.77	Morgenstern Gesundkost	Heerstr. 22	Leipzig		04179	Germany
10278	Berglunds snabbköp	Callahan, Laura	12-Aug-1996	09-Sep-1996	16-Aug-1996	United Package	$92.69	Berglunds snabbköp	Berguvsvägen  8	Luleå		S-958 22	Sweden
10279	Lehmanns Marktstand	Callahan, Laura	13-Aug-1996	10-Sep-1996	16-Aug-1996	United Package	$25.83	Lehmanns Marktstand	Magazinweg 7	Frankfurt a.M.		60528	Germany
10280	Berglunds snabbköp	Fuller, Andrew	14-Aug-1996	11-Sep-1996	12-Sep-1996	Speedy Express	$8.98	Berglunds snabbköp	Berguvsvägen  8	Luleå		S-958 22	Sweden
10281	Romero y tomillo	Peacock, Margaret	14-Aug-1996	28-Aug-1996	21-Aug-1996	Speedy Express	$2.94	Romero y tomillo	Gran Vía, 1	Madrid		28001	Spain
10282	Romero y tomillo	Peacock, Margaret	15-Aug-1996	12-Sep-1996	21-Aug-1996	Speedy Express	$12.69	Romero y tomillo	Gran Vía, 1	Madrid		28001	Spain
10283	LILA-Supermercado	Leverling, Janet	16-Aug-1996	13-Sep-1996	23-Aug-1996	Federal Shipping	$84.81	LILA-Supermercado	Carrera 52 con Ave. Bolívar #65-98 Llano Largo	Barquisimeto	Lara	3508	Venezuela
10284	Lehmanns Marktstand	Peacock, Margaret	19-Aug-1996	16-Sep-1996	27-Aug-1996	Speedy Express	$76.56	Lehmanns Marktstand	Magazinweg 7	Frankfurt a.M.		60528	Germany
10285	QUICK-Stop	Davolio, Nancy	20-Aug-1996	17-Sep-1996	26-Aug-1996	United Package	$76.83	QUICK-Stop	Taucherstraße 10	Cunewalde		01307	Germany
10286	QUICK-Stop	Callahan, Laura	21-Aug-1996	18-Sep-1996	30-Aug-1996	Federal Shipping	$229.24	QUICK-Stop	Taucherstraße 10	Cunewalde		01307	Germany
10287	Ricardo Adocicados	Callahan, Laura	22-Aug-1996	19-Sep-1996	28-Aug-1996	Federal Shipping	$12.76	Ricardo Adocicados	Av. Copacabana, 267	Rio de Janeiro	RJ	02389-890	Brazil
10288	Reggiani Caseifici	Peacock, Margaret	23-Aug-1996	20-Sep-1996	03-Sep-1996	Speedy Express	$7.45	Reggiani Caseifici	Strada Provinciale 124	Reggio Emilia		42100	Italy
10289	B's Beverages	King, Robert	26-Aug-1996	23-Sep-1996	28-Aug-1996	Federal Shipping	$22.77	B's Beverages	Fauntleroy Circus	London		EC2 5NT	UK
10290	Comércio Mineiro	Callahan, Laura	27-Aug-1996	24-Sep-1996	03-Sep-1996	Speedy Express	$79.70	Comércio Mineiro	Av. dos Lusíadas, 23	São Paulo	SP	05432-043	Brazil
10291	Que Delícia	Suyama, Michael	27-Aug-1996	24-Sep-1996	04-Sep-1996	United Package	$6.40	Que Delícia	Rua da Panificadora, 12	Rio de Janeiro	RJ	02389-673	Brazil
10292	Tradição Hipermercados	Davolio, Nancy	28-Aug-1996	25-Sep-1996	02-Sep-1996	United Package	$1.35	Tradição Hipermercados	Av. Inês de Castro, 414	São Paulo	SP	05634-030	Brazil
10293	Tortuga Restaurante	Davolio, Nancy	29-Aug-1996	26-Sep-1996	11-Sep-1996	Federal Shipping	$21.18	Tortuga Restaurante	Avda. Azteca 123	México D.F.		05033	Mexico
10294	Rattlesnake Canyon Grocery	Peacock, Margaret	30-Aug-1996	27-Sep-1996	05-Sep-1996	United Package	$147.26	Rattlesnake Canyon Grocery	2817 Milton Dr.	Albuquerque	NM	87110	USA
10295	Vins et alcools Chevalier	Fuller, Andrew	02-Sep-1996	30-Sep-1996	10-Sep-1996	United Package	$1.15	Vins et alcools Chevalier	59 rue de l'Abbaye	Reims		51100	France
10296	LILA-Supermercado	Suyama, Michael	03-Sep-1996	01-Oct-1996	11-Sep-1996	Speedy Express	$0.12	LILA-Supermercado	Carrera 52 con Ave. Bolívar #65-98 Llano Largo	Barquisimeto	Lara	3508	Venezuela
10297	Blondel père et fils	Buchanan, Steven	04-Sep-1996	16-Oct-1996	10-Sep-1996	United Package	$5.74	Blondel père et fils	24, place Kléber	Strasbourg		67000	France
10298	Hungry Owl All-Night Grocers	Suyama, Michael	05-Sep-1996	03-Oct-1996	11-Sep-1996	United Package	$168.22	Hungry Owl All-Night Grocers	8 Johnstown Road	Cork	Co. Cork		Ireland
10299	Ricardo Adocicados	Peacock, Margaret	06-Sep-1996	04-Oct-1996	13-Sep-1996	United Package	$29.76	Ricardo Adocicados	Av. Copacabana, 267	Rio de Janeiro	RJ	02389-890	Brazil
10300	Magazzini Alimentari Riuniti	Fuller, Andrew	09-Sep-1996	07-Oct-1996	18-Sep-1996	United Package	$17.68	Magazzini Alimentari Riuniti	Via Ludovico il Moro 22	Bergamo		24100	Italy
10301	Die Wandernde Kuh	Callahan, Laura	09-Sep-1996	07-Oct-1996	17-Sep-1996	United Package	$45.08	Die Wandernde Kuh	Adenauerallee 900	Stuttgart		70563	Germany
10302	Suprêmes délices	Peacock, Margaret	10-Sep-1996	08-Oct-1996	09-Oct-1996	United Package	$6.27	Suprêmes délices	Boulevard Tirou, 255	Charleroi		B-6000	Belgium
10303	Godos Cocina Típica	King, Robert	11-Sep-1996	09-Oct-1996	18-Sep-1996	United Package	$107.83	Godos Cocina Típica	C/ Romero, 33	Sevilla		41101	Spain
10304	Tortuga Restaurante	Davolio, Nancy	12-Sep-1996	10-Oct-1996	17-Sep-1996	United Package	$63.79	Tortuga Restaurante	Avda. Azteca 123	México D.F.		05033	Mexico
10305	Old World Delicatessen	Callahan, Laura	13-Sep-1996	11-Oct-1996	09-Oct-1996	Federal Shipping	$257.62	Old World Delicatessen	2743 Bering St.	Anchorage	AK	99508	USA
10306	Romero y tomillo	Davolio, Nancy	16-Sep-1996	14-Oct-1996	23-Sep-1996	Federal Shipping	$7.56	Romero y tomillo	Gran Vía, 1	Madrid		28001	Spain
10307	Lonesome Pine Restaurant	Fuller, Andrew	17-Sep-1996	15-Oct-1996	25-Sep-1996	United Package	$0.56	Lonesome Pine Restaurant	89 Chiaroscuro Rd.	Portland	OR	97219	USA
10308	Ana Trujillo Emparedados y helados	King, Robert	18-Sep-1996	16-Oct-1996	24-Sep-1996	Federal Shipping	$1.61	Ana Trujillo Emparedados y helados	Avda. de la Constitución 2222	México D.F.		05021	Mexico
10309	Hungry Owl All-Night Grocers	Leverling, Janet	19-Sep-1996	17-Oct-1996	23-Oct-1996	Speedy Express	$47.30	Hungry Owl All-Night Grocers	8 Johnstown Road	Cork	Co. Cork		Ireland
10310	The Big Cheese	Callahan, Laura	20-Sep-1996	18-Oct-1996	27-Sep-1996	United Package	$17.52	The Big Cheese	89 Jefferson Way, Suite 2	Portland	OR	97201	USA
10311	Du monde entier	Davolio, Nancy	20-Sep-1996	04-Oct-1996	26-Sep-1996	Federal Shipping	$24.69	Du monde entier	67, rue des Cinquante Otages	Nantes		44000	France
10312	Die Wandernde Kuh	Fuller, Andrew	23-Sep-1996	21-Oct-1996	03-Oct-1996	United Package	$40.26	Die Wandernde Kuh	Adenauerallee 900	Stuttgart		70563	Germany
10313	QUICK-Stop	Fuller, Andrew	24-Sep-1996	22-Oct-1996	04-Oct-1996	United Package	$1.96	QUICK-Stop	Taucherstraße 10	Cunewalde		01307	Germany
10314	Rattlesnake Canyon Grocery	Davolio, Nancy	25-Sep-1996	23-Oct-1996	04-Oct-1996	United Package	$74.16	Rattlesnake Canyon Grocery	2817 Milton Dr.	Albuquerque	NM	87110	USA
10315	Island Trading	Peacock, Margaret	26-Sep-1996	24-Oct-1996	03-Oct-1996	United Package	$41.76	Island Trading	Garden House, Crowther Way	Cowes	Isle of Wight	PO31 7PJ	UK
10316	Rattlesnake Canyon Grocery	Davolio, Nancy	27-Sep-1996	25-Oct-1996	08-Oct-1996	Federal Shipping	$150.15	Rattlesnake Canyon Grocery	2817 Milton Dr.	Albuquerque	NM	87110	USA
10317	Lonesome Pine Restaurant	Suyama, Michael	30-Sep-1996	28-Oct-1996	10-Oct-1996	Speedy Express	$12.69	Lonesome Pine Restaurant	89 Chiaroscuro Rd.	Portland	OR	97219	USA
10318	Island Trading	Callahan, Laura	01-Oct-1996	29-Oct-1996	04-Oct-1996	United Package	$4.73	Island Trading	Garden House, Crowther Way	Cowes	Isle of Wight	PO31 7PJ	UK
10319	Tortuga Restaurante	King, Robert	02-Oct-1996	30-Oct-1996	11-Oct-1996	Federal Shipping	$64.50	Tortuga Restaurante	Avda. Azteca 123	México D.F.		05033	Mexico
10320	Wartian Herkku	Buchanan, Steven	03-Oct-1996	17-Oct-1996	18-Oct-1996	Federal Shipping	$34.57	Wartian Herkku	Torikatu 38	Oulu		90110	Finland
10321	Island Trading	Leverling, Janet	03-Oct-1996	31-Oct-1996	11-Oct-1996	United Package	$3.43	Island Trading	Garden House, Crowther Way	Cowes	Isle of Wight	PO31 7PJ	UK
10322	Pericles Comidas clásicas	King, Robert	04-Oct-1996	01-Nov-1996	23-Oct-1996	Federal Shipping	$0.40	Pericles Comidas clásicas	Calle Dr. Jorge Cash 321	México D.F.		05033	Mexico
10323	Königlich Essen	Peacock, Margaret	07-Oct-1996	04-Nov-1996	14-Oct-1996	Speedy Express	$4.88	Königlich Essen	Maubelstr. 90	Brandenburg		14776	Germany
10324	Save-a-lot Markets	Dodsworth, Anne	08-Oct-1996	05-Nov-1996	10-Oct-1996	Speedy Express	$214.27	Save-a-lot Markets	187 Suffolk Ln.	Boise	ID	83720	USA
10325	Königlich Essen	Davolio, Nancy	09-Oct-1996	23-Oct-1996	14-Oct-1996	Federal Shipping	$64.86	Königlich Essen	Maubelstr. 90	Brandenburg		14776	Germany
10326	Bólido Comidas preparadas	Peacock, Margaret	10-Oct-1996	07-Nov-1996	14-Oct-1996	United Package	$77.92	Bólido Comidas preparadas	C/ Araquil, 67	Madrid		28023	Spain
10327	Folk och fä HB	Fuller, Andrew	11-Oct-1996	08-Nov-1996	14-Oct-1996	Speedy Express	$63.36	Folk och fä HB	Åkergatan 24	Bräcke		S-844 67	Sweden
10328	Furia Bacalhau e Frutos do Mar	Peacock, Margaret	14-Oct-1996	11-Nov-1996	17-Oct-1996	Federal Shipping	$87.03	Furia Bacalhau e Frutos do Mar	Jardim das rosas n. 32	Lisboa		1675	Portugal
10329	Split Rail Beer & Ale	Peacock, Margaret	15-Oct-1996	26-Nov-1996	23-Oct-1996	United Package	$191.67	Split Rail Beer & Ale	P.O. Box 555	Lander	WY	82520	USA
10330	LILA-Supermercado	Leverling, Janet	16-Oct-1996	13-Nov-1996	28-Oct-1996	Speedy Express	$12.75	LILA-Supermercado	Carrera 52 con Ave. Bolívar #65-98 Llano Largo	Barquisimeto	Lara	3508	Venezuela
10331	Bon app'	Dodsworth, Anne	16-Oct-1996	27-Nov-1996	21-Oct-1996	Speedy Express	$10.19	Bon app'	12, rue des Bouchers	Marseille		13008	France
